Player,1st_NBA,2nd_NBA,3rd_NBA,1st_Def,2nd_Def,Total_All_NBA_Accolades,NBA Championship,NBA_Finals_MVP,Regular_Season_MVP,DPOY,ROY,6MOY,All-Star_Games,Scoring_Title,Assists_Leader,Rebounding_Leader,Steals_Leader,Blocks_Leader,Seasons_Plaued,Playoff_Seasons,Legacy_Impact
LeBron James,13,3,4,5,1,26,4,4,4,,1,,21,1,1,,,,22,18,50
Kareem Abdul-Jabbar,10,5,0,5,6,26,6,2,6,,1,,19,2,,1,,4,20,18,46
Karl Malone,11,2,1,3,1,18,,,2,,,,14,,,,,,19,19,27
Wilt Chamberlain,7,3,0,2,0,12,2,1,4,,1,,13,7,,11,,,14,13,42
Kobe Bryant,11,2,2,9,3,27,5,2,1,,,,18,2,,,,,20,15,50
Michael Jordan,10,1,0,9,0,20,6,6,5,1,1,,14,10,,,3,,15,13,50
Dirk Nowitzki,4,5,3,0,0,12,1,1,1,,,,14,,,,,,21,15,23
Kevin Durant,6,5,0,0,0,11,2,2,1,,1,,11,4,,,,,17,13,37
Julius Erving,5,2,0,1,0,8,1,,4,,,,16,3,,,,,16,16,46
Shaquille O'Neal,8,2,4,0,3,17,4,3,1,,1,,15,2,,,,,19,17,45
Dominique Wilkins,1,4,2,0,0,7,,,,,,,7,1,,,,,15,10,34
Allen Iverson,3,3,1,0,0,7,,,1,,1,,11,4,,,3,,14,8,44
Hakeem Olajuwon,6,3,3,5,4,21,2,2,1,2,,,12,,,2,,3,18,15,30
Oscar Robertson,9,2,0,0,0,11,1,,1,,1,,12,1,6,,,,14,10,28
Tim Duncan,10,3,2,8,7,30,5,3,2,,1,,15,,,,,,19,18,32
John Havlicek,4,7,0,5,3,19,8,1,,,,,13,,,,,,16,13,24
Kevin Garnett,4,3,2,9,3,21,1,,1,1,,,15,,,4,,,21,14,38
Jerry West,10,2,0,4,1,17,1,1,,,,,14,1,1,,,,14,13,48
Stephen Curry,4,4,2,0,0,10,4,1,2,,,,11,2,,,1,,16,10,50
Dwyane Wade,2,3,3,0,3,11,3,1,,,,,13,1,,,,,16,13,37
Gary Payton,2,5,2,9,0,18,1,,,1,,,9,,,,1,,17,15,32
Chris Paul,4,5,2,7,2,20,,,,,1,,12,,5,,6,,20,15,25
Larry Bird,9,1,0,0,3,13,3,2,3,,1,,12,,,,,,13,9,50
David Robinson,4,2,4,4,4,18,2,,1,1,1,,10,1,,1,,1,14,12,30
John Stockton,2,6,3,0,5,16,,,,,,,10,,9,,2,,19,19,28
Jason Kidd,5,1,0,4,5,15,1,,,,1,,10,,5,,,,19,17,32
Magic Johnson,9,1,0,0,0,10,5,3,3,,,,12,,4,,2,,13,13,50
Bob Cousy,10,2,0,0,0,12,6,,1,,,,,,8,,,,14,13,20
Bill Russell,3,8,0,1,0,12,11,,5,,,,12,,,5,,,13,13,47
Isiah Thomas,3,2,0,0,0,5,2,1,,,,,12,,1,,,,13,9,35
Giannis Antetokounmpo,7,2,,4,1,14,1,1,2,1,,,9,,,,,,12,9,35
Moses Malone,4,4,,1,1,,1,1,3,,,,13,,,6,,,21,13,30
Nikola Jokic,5,2,,,,,1,1,3,,,,7,,,,,,10,7,30